"trial","ref_position","var_area","response","correct","rt"
1,"L",9.17798053310253,"R",TRUE,2.11199998855591
2,"L",9.02498855139129,"R",TRUE,1.99300003051758
3,"L",8.2072869441472,"L",TRUE,1.78999996185303
4,"L",12.8300783350132,"R",TRUE,1.69400000572205
5,"R",13.7423099870794,"L",TRUE,1.49300003051758
6,"R",13.5745189751033,"L",TRUE,1.6969997882843
7,"L",14.2474708545487,"R",TRUE,1.49600005149841
8,"L",8.39949504495598,"L",TRUE,1.48900008201599
9,"R",9.69745557080023,"R",FALSE,1.29200005531311
10,"R",13.556750688469,"L",TRUE,1.50099992752075
